CRASH_ID,VEH_HNR_FL,DRVR_LIC_TYPE_ID
14838841,Y,DRIVER LICENSE
14838842,Y,DRIVER LICENSE
14838842,Y,DRIVER LICENSE
14840017,Y,DRIVER LICENSE
14840017,Y,DRIVER LICENSE
14840537,Y,DRIVER LICENSE
14840612,Y,DRIVER LICENSE
14840612,Y,DRIVER LICENSE
14840819,Y,DRIVER LICENSE
14842185,Y,DRIVER LICENSE
14842185,Y,DRIVER LICENSE
14842185,Y,DRIVER LICENSE
14842185,Y,DRIVER LICENSE
14842278,Y,DRIVER LICENSE
14842298,Y,DRIVER LICENSE
14842952,Y,DRIVER LICENSE
14842952,Y,DRIVER LICENSE
14842987,Y,DRIVER LICENSE
14842987,Y,DRIVER LICENSE
14842987,Y,DRIVER LICENSE
14842987,Y,DRIVER LICENSE
14842987,Y,DRIVER LICENSE
14842987,Y,DRIVER LICENSE
14842987,Y,DRIVER LICENSE
14842987,Y,DRIVER LICENSE
14842987,Y,DRIVER LICENSE
14842987,Y,DRIVER LICENSE
14842987,Y,DRIVER LICENSE
14842987,Y,DRIVER LICENSE
14843283,Y,DRIVER LICENSE
14844344,Y,DRIVER LICENSE
14844353,Y,DRIVER LICENSE
14844463,Y,DRIVER LICENSE
14844463,Y,DRIVER LICENSE
14844479,Y,DRIVER LICENSE
14844520,Y,DRIVER LICENSE
14844538,Y,DRIVER LICENSE
14844539,Y,DRIVER LICENSE
14845274,Y,DRIVER LICENSE
14845274,Y,DRIVER LICENSE
14845668,Y,DRIVER LICENSE
14845668,Y,DRIVER LICENSE
14845673,Y,DRIVER LICENSE
14845673,Y,DRIVER LICENSE
14845759,Y,DRIVER LICENSE
14845759,Y,DRIVER LICENSE
14845770,Y,DRIVER LICENSE
14846096,Y,DRIVER LICENSE
14846096,Y,DRIVER LICENSE
14846096,Y,DRIVER LICENSE
14846632,Y,DRIVER LICENSE
14846632,Y,DRIVER LICENSE
14846753,Y,DRIVER LICENSE
14846979,Y,DRIVER LICENSE
14847339,Y,DRIVER LICENSE
14847339,Y,DRIVER LICENSE
14847690,Y,DRIVER LICENSE
14847690,Y,DRIVER LICENSE
14847744,Y,DRIVER LICENSE
14847744,Y,DRIVER LICENSE
14847881,Y,DRIVER LICENSE
14847892,Y,DRIVER LICENSE
14847926,Y,DRIVER LICENSE
14848341,Y,DRIVER LICENSE
14848364,Y,DRIVER LICENSE
14848364,Y,DRIVER LICENSE
14848400,Y,DRIVER LICENSE
14848692,Y,DRIVER LICENSE
14848692,Y,DRIVER LICENSE
14848933,Y,DRIVER LICENSE
14849279,Y,DRIVER LICENSE
14849279,Y,DRIVER LICENSE
14849664,Y,DRIVER LICENSE
14849811,Y,DRIVER LICENSE
14850115,Y,DRIVER LICENSE
14850269,Y,DRIVER LICENSE
14850269,Y,DRIVER LICENSE
14850423,Y,DRIVER LICENSE
14850423,Y,DRIVER LICENSE
14850423,Y,DRIVER LICENSE
14850423,Y,DRIVER LICENSE
14850585,Y,COMMERCIAL DRIVER LIC.
14851224,Y,DRIVER LICENSE
14851224,Y,DRIVER LICENSE
14851735,Y,DRIVER LICENSE
14852072,Y,DRIVER LICENSE
14852072,Y,DRIVER LICENSE
14852077,Y,COMMERCIAL DRIVER LIC.
14852093,Y,DRIVER LICENSE
14852093,Y,DRIVER LICENSE
14852093,Y,DRIVER LICENSE
14852093,Y,DRIVER LICENSE
14852093,Y,DRIVER LICENSE
14852093,Y,DRIVER LICENSE
14852094,Y,DRIVER LICENSE
14852533,Y,DRIVER LICENSE
14852865,Y,COMMERCIAL DRIVER LIC.
14852917,Y,DRIVER LICENSE
14853424,Y,DRIVER LICENSE
14853524,Y,DRIVER LICENSE
14853703,Y,DRIVER LICENSE
14854045,Y,DRIVER LICENSE
14854530,Y,DRIVER LICENSE
14854530,Y,DRIVER LICENSE
14854987,Y,DRIVER LICENSE
14854987,Y,DRIVER LICENSE
14854987,Y,DRIVER LICENSE
14854987,Y,DRIVER LICENSE
14854987,Y,DRIVER LICENSE
14854987,Y,DRIVER LICENSE
14855370,Y,DRIVER LICENSE
14855513,Y,DRIVER LICENSE
14855513,Y,DRIVER LICENSE
14855549,Y,DRIVER LICENSE
14855549,Y,DRIVER LICENSE
14856218,Y,DRIVER LICENSE
14856536,Y,DRIVER LICENSE
14856536,Y,DRIVER LICENSE
14856868,Y,DRIVER LICENSE
14856868,Y,DRIVER LICENSE
14856879,Y,DRIVER LICENSE
14856879,Y,DRIVER LICENSE
14856879,Y,DRIVER LICENSE
14857516,Y,DRIVER LICENSE
14858406,Y,DRIVER LICENSE
14858406,Y,DRIVER LICENSE
14858415,Y,DRIVER LICENSE
14859108,Y,DRIVER LICENSE
14859390,Y,DRIVER LICENSE
14859390,Y,DRIVER LICENSE
14859556,Y,DRIVER LICENSE
14859594,Y,DRIVER LICENSE
14859594,Y,DRIVER LICENSE
14859625,Y,DRIVER LICENSE
14859625,Y,DRIVER LICENSE
14859625,Y,DRIVER LICENSE
14859701,Y,DRIVER LICENSE
14859769,Y,DRIVER LICENSE
14859785,Y,DRIVER LICENSE
14859785,Y,DRIVER LICENSE
14859957,Y,DRIVER LICENSE
14860043,Y,DRIVER LICENSE
14860043,Y,DRIVER LICENSE
14860298,Y,DRIVER LICENSE
14860490,Y,DRIVER LICENSE
14860922,Y,DRIVER LICENSE
14860922,Y,DRIVER LICENSE
14860983,Y,DRIVER LICENSE
14861006,Y,DRIVER LICENSE
14861181,Y,DRIVER LICENSE
14861361,Y,DRIVER LICENSE
14861361,Y,DRIVER LICENSE
14861556,Y,DRIVER LICENSE
14861716,Y,DRIVER LICENSE
14861897,Y,DRIVER LICENSE
14861897,Y,DRIVER LICENSE
14861930,Y,DRIVER LICENSE
14862007,Y,DRIVER LICENSE
14862073,Y,DRIVER LICENSE
14862073,Y,DRIVER LICENSE
14862730,Y,DRIVER LICENSE
14862730,Y,DRIVER LICENSE
14862925,Y,DRIVER LICENSE
14863075,Y,DRIVER LICENSE
14863075,Y,DRIVER LICENSE
14863111,Y,DRIVER LICENSE
14863111,Y,DRIVER LICENSE
14863133,Y,DRIVER LICENSE
14863226,Y,DRIVER LICENSE
14863325,Y,DRIVER LICENSE
14863325,Y,DRIVER LICENSE
14863325,Y,DRIVER LICENSE
14863325,Y,DRIVER LICENSE
14863325,Y,DRIVER LICENSE
14863325,Y,DRIVER LICENSE
14863325,Y,DRIVER LICENSE
14863325,Y,DRIVER LICENSE
14863325,Y,DRIVER LICENSE
14863325,Y,DRIVER LICENSE
14863325,Y,DRIVER LICENSE
14863325,Y,DRIVER LICENSE
