DRVR_LIC_STATE_ID,count
Texas,83016
NA,7061
Unknown,1960
Mexico,766
Louisiana,519
New Mexico,466
California,426
Florida,391
Oklahoma,355
Other,272
Arkansas,229
Arizona,179
Georgia,169
Illinois,141
Tennessee,139
Colorado,133
Mississippi,132
Missouri,124
North Carolina,116
Kansas,94
Michigan,89
Alabama,88
Washington,85
New York,82
South Carolina,77
Ohio,73
Indiana,69
Virginia,67
Pennsylvania,62
Wisconsin,54
Minnesota,48
Nevada,45
Canada,45
Maryland,40
Iowa,38
Kentucky,37
Massachusetts,33
New Jersey,32
Utah,31
Oregon,31
Idaho,26
Nebraska,23
Alaska,21
Connecticut,18
Montana,15
North Dakota,12
South Dakota,12
Wyoming,11
Hawaii,9
West Virginia,7
District of Columbia,7
Vermont,6
Puerto Rico,5
New Hampshire,5
Maine,5
American Samoa (Islands),5
Delaware,5
Northern Mariana Islands,2
Rhode Island,2
U.S. Virgin Islands,1
Guam,1
Wake Island,1
